Date,Price
1/1/2022,131.3198622
1/2/2022,156.3663764
1/3/2022,145.8520919
1/4/2022,130.9399616
1/5/2022,161.5909992
1/6/2022,142.1882137
1/7/2022,133.9251399
1/8/2022,157.146873
1/9/2022,138.0396308
1/10/2022,141.7608203
1/11/2022,149.3532186
1/12/2022,139.5306698
1/13/2022,144.11084
1/14/2022,158.643728
1/15/2022,151.9424969
1/16/2022,141.3115539
1/17/2022,147.9334094
1/18/2022,174.568404
1/19/2022,151.4377467
1/20/2022,150.8492174
1/21/2022,147.4973211
1/22/2022,155.3784197
1/23/2022,151.3871832
1/24/2022,138.424909
1/25/2022,149.4672955
1/26/2022,145.6241376
1/27/2022,160.0694179
1/28/2022,145.0019213
1/29/2022,153.4776638
1/30/2022,146.0602672
1/31/2022,139.0475147
2/1/2022,165.103295
2/2/2022,159.0093742
2/3/2022,156.5310835
2/4/2022,155.2602382
2/5/2022,158.8542465
2/6/2022,136.1948792
2/7/2022,151.50717
2/8/2022,139.581387
2/9/2022,158.3130395
2/10/2022,134.13244
2/11/2022,147.6142637
2/12/2022,141.143296
2/13/2022,151.6399899
2/14/2022,154.0208175
2/15/2022,146.3586966
2/16/2022,140.1928894
2/17/2022,153.3928858
2/18/2022,161.8095889
2/19/2022,151.8750938
2/20/2022,159.8847711
2/21/2022,176.1482343
2/22/2022,127.1170458
2/23/2022,163.6629909
2/24/2022,149.0458
2/25/2022,124.810551
2/26/2022,134.4249973
2/27/2022,128.5747084
2/28/2022,158.4381165
3/1/2022,141.1193877
3/2/2022,153.107681
3/3/2022,137.4127505
3/4/2022,139.6029207
3/5/2022,147.9110924
3/6/2022,156.5789045
3/7/2022,146.985074
3/8/2022,151.0501673
3/9/2022,159.8184757
3/10/2022,155.5674103
3/11/2022,144.4778347
3/12/2022,155.0757024
3/13/2022,160.4595088
3/14/2022,150.1524253
3/15/2022,140.4540449
3/16/2022,150.9290231
3/17/2022,132.0551193
3/18/2022,154.7287505
3/19/2022,171.9781022
3/20/2022,154.1932541
3/21/2022,154.332881
3/22/2022,160.8198437
3/23/2022,131.7546347
3/24/2022,141.5252965
3/25/2022,151.881368
3/26/2022,151.5740196
3/27/2022,144.2104503
3/28/2022,157.9280294
3/29/2022,157.8306237
3/30/2022,140.4224371
3/31/2022,133.8870991
4/1/2022,159.0415653
4/2/2022,140.1933127
4/3/2022,139.9328793
4/4/2022,140.3833793
4/5/2022,157.3333513
4/6/2022,159.9297488
4/7/2022,154.2144754
4/8/2022,125.9692144
4/9/2022,149.5695976
4/10/2022,145.6531535
4/11/2022,157.358125
4/12/2022,138.0462356
4/13/2022,142.6087667
4/14/2022,148.1487998
4/15/2022,148.901867
4/16/2022,142.4746
4/17/2022,143.0070647
4/18/2022,124.8860096
4/19/2022,166.3093456
4/20/2022,147.5416862
4/21/2022,158.7164729
4/22/2022,155.2942705
4/23/2022,140.3933382
4/24/2022,137.4281094
4/25/2022,161.659055
4/26/2022,152.3234129
4/27/2022,157.5061682
4/28/2022,162.1669649
4/29/2022,139.3297015
4/30/2022,142.9725931
5/1/2022,141.3713868
5/2/2022,147.6963457
5/3/2022,150.821462
5/4/2022,144.5286214
5/5/2022,147.2860537
5/6/2022,140.3309334
5/7/2022,143.9806975
5/8/2022,152.3681421
5/9/2022,149.2629004
5/10/2022,150.9637225
5/11/2022,140.3278121
5/12/2022,156.0493165
5/13/2022,147.9356713
5/14/2022,158.4654852
5/15/2022,159.8174505
5/16/2022,147.0025659
5/17/2022,149.399569
5/18/2022,147.8200161
5/19/2022,150.049753
5/20/2022,151.0399112
5/21/2022,166.4644234
5/22/2022,152.0429538
5/23/2022,164.2057249
5/24/2022,157.6698813
5/25/2022,152.224309
5/26/2022,158.9496404
5/27/2022,167.8631131
